Instance, E-n51-k5
capacity, 160
min_trucks, 5
output_file, output_farley/E-n51-k5-SPPRC.log
Start date, 2022-07-07
Start time, 12-58-51
capacity, 160
num_vehicles, 5
abort_early, False
methods, ['SPPRC']
max_vars, 100
time_limit, 43200
farley, True
ESPPRC_heur, True
initial time, initial max_it, max_stale_it
1, 20000.0, 20
heuristic Number of routes, heuristic Best Solution Value, heuristic number of iterations, adjusted time, adjusted max_it, measured total time
22, 521.0, 46, 1, 20000.0, 50.2
method, python time, total time, propagated dominance time, unpropagated dominance time, pricing_success, upper_bound, lower_bound, abort_early, num_paths, 
Farley, 0.1, 2503.6, 2212.0, 289.4, 0, 518.8024, 345.6177, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 518.8024, 355.5685, 0, 792
Farley, 0.1, 2787.7, 2488.8, 296.5, 0, 518.8024, 380.7048, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 515.8895, 154.3556, 0, 1159
Farley, 0.1, 1504.4, 1338.8, 163.8, 0, 515.8895, 355.4409, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 515.8895, 354.719, 0, 623
Farley, 0.1, 1316.6, 1176.7, 138.2, 0, 515.8895, 419.5657, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 515.7885, 386.8778, 0, 611
Farley, 0.1, 1726.9, 1540.6, 184.3, 0, 515.7885, 404.3013, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 515.547, 424.2531, 0, 500
Farley, 0.1, 1468.3, 1302.5, 164.0, 0, 515.547, 410.8112, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 509.5004, 419.4761, 0, 507
Farley, 0.2, 1478.8, 1312.6, 164.5, 0, 509.5004, 427.2977, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 507.4478, 423.1376, 0, 267
Farley, 0.1, 1524.2, 1348.6, 174.0, 0, 507.4478, 435.4601, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 504.7082, 447.759, 0, 264
Farley, 0.1, 4145.4, 3669.5, 472.7, 0, 504.7082, 451.0655, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 501.7278, 469.6149, 0, 126
Farley, 0.1, 2023.9, 1790.5, 231.2, 0, 501.7278, 474.0311, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 499.9133, 462.6566, 0, 163
Farley, 0.1, 1004.3, 888.5, 114.4, 0, 499.9133, 453.3846, 0, Not Applicable
SPPRC, 0.1, 0.0, 0.0, 0.0, 1, 499.663, 468.2166, 0, 111
Farley, 0.1, 979.1, 862.6, 115.1, 0, 499.663, 457.9225, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 496.5982, 476.4338, 0, 64
Farley, 0.0, 1237.0, 1093.7, 141.7, 0, 496.5982, 474.8373, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 496.0122, 483.4183, 0, 50
Farley, 0.1, 1110.5, 984.4, 124.7, 0, 496.0122, 479.9636, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 495.6196, 486.388, 0, 39
Farley, 0.1, 1275.9, 1126.3, 148.0, 0, 495.6196, 486.1335, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 494.9294, 486.568, 0, 23
Farley, 0.1, 1306.8, 1152.5, 152.7, 0, 494.9294, 488.4656, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 494.7354, 489.9465, 0, 20
Farley, 0.0, 1312.2, 1161.7, 148.7, 0, 494.7354, 490.4109, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 494.6924, 491.8316, 0, 15
Farley, 0.1, 1356.7, 1198.5, 156.5, 0, 494.6924, 492.1332, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 494.6442, 492.6398, 0, 9
Farley, 0.0, 1203.4, 1061.5, 140.4, 0, 494.6442, 492.8334, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 494.5746, 492.3479, 0, 5
Farley, 0.0, 1154.7, 1020.0, 133.1, 0, 494.5746, 493.0909, 0, Not Applicable
SPPRC, 0.0, 0.0, 0.0, 0.0, 1, 494.5728, 494.5728, 0, 0
Farley, 0.0, 1189.7, 1050.5, 137.8, 0, 494.5728, 494.5728, 0, Not Applicable
scip_total_time, 55933.672288
Solval, number of paths, impact cutoff
494.5727698382097, 42, 0.0001
Elementary, 2-Cycle, Path Value, Path
False, False, 0.1834, (0, 38, 9, 30, 34, 30, 34, 50, 16, 11, 0)
False, False, 0.25, (0, 18, 25, 14, 25, 18, 0)
False, False, 0.0821, (0, 27, 1, 22, 28, 31, 28, 31, 28, 31, 28, 31, 28, 22, 1, 0)
False, False, 0.022, (0, 1, 22, 28, 31, 28, 31, 28, 31, 28, 31, 28, 22, 1, 32, 0)
False, False, 0.0323, (0, 38, 9, 30, 39, 33, 39, 10, 39, 30, 9, 38, 0)
False, False, 0.25, (0, 6, 14, 25, 14, 25, 14, 6, 0)
False, False, 0.1095, (0, 32, 2, 29, 21, 29, 21, 29, 21, 29, 21, 29, 21, 29, 2, 32, 0)
False, False, 0.1667, (0, 1, 22, 3, 36, 35, 36, 35, 36, 35, 36, 35, 36, 3, 22, 1, 0)
False, False, 0.2491, (0, 17, 37, 15, 45, 33, 45, 33, 45, 33, 45, 15, 44, 17, 0)
False, False, 0.0646, (0, 5, 49, 10, 39, 10, 39, 10, 39, 10, 39, 10, 49, 5, 0)
False, False, 0.3333, (0, 32, 2, 20, 3, 20, 2, 32, 0)
False, False, 0.1447, (0, 46, 11, 16, 50, 34, 30, 34, 50, 16, 38, 0)
False, False, 0.0829, (0, 48, 8, 26, 31, 28, 31, 26, 8, 26, 8, 48, 0)
False, False, 0.0905, (0, 47, 4, 18, 4, 18, 4, 47, 0)
False, False, 0.0211, (0, 27, 48, 8, 26, 31, 28, 31, 26, 8, 48, 27, 0)
False, False, 0.0207, (0, 48, 26, 8, 26, 8, 26, 8, 26, 8, 48, 0)
False, False, 0.0345, (0, 12, 5, 38, 5, 38, 5, 12, 46, 0)
